fecha,archivo,tipo,estado,detalle,sha256
2026-08-20 08:58:57,WhatsApp Image 2026-08-15 at 10.27.28 AM.jpeg,pago,DUPLICADO,nombre y contenido ya presentes,b25281287adc38c5444390f96e1317d5a1e14192537b30eba35e2390a73c3ebd
2026-08-20 08:58:57,WhatsApp Image 2026-08-17 at 8.27.21 AM.jpeg,pago,DUPLICADO,nombre y contenido ya presentes,7e42afe4d092f6571e5b93ccabcb4ffc0846982da811a6f996ef312f86c1c381
2026-08-20 08:58:57,FACT. TABATA MARCOS 17-08-26.pdf,factura,PROCESADO,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-08\FACT. TABATA MARCOS 17-08-26.pdf,
2026-08-20 08:58:57,WhatsApp Image 2026-08-19 at 8.44.43 AM.jpeg,pago,PROCESADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-08\WhatsApp Image 2026-08-19 at 8.44.43 AM.jpeg,
2026-08-20 08:58:57,FACT. TABATA MARCOS 18-08 AL 19-08-26.pdf,factura,PROCESADO,C:\Users\Marcos\Mi unidad\FYS\Facturas\2026-08\FACT. TABATA MARCOS 18-08 AL 19-08-26.pdf,
2026-08-20 08:58:57,WhatsApp Image 2026-08-20 at 8.50.12 AM.jpeg,pago,PROCESADO,C:\Users\Marcos\Mi unidad\FYS\Pagos_procesados\2026-08\WhatsApp Image 2026-08-20 at 8.50.12 AM.jpeg,
